item,sentence,rating
1,Dust settled on the camera [lens].,
2,They hiked across the [flat] plain.,
3,The cows grazed in the [field].,
4,Petals [floated] on the pond.,
5,A [thread] of irony runs through the memoir.,
6,A spider spun its [web] in the doorway.,
7,She [steered] the truck around the crater.,
8,Patience is the [key] to teaching.,
9,He steadied the [ladder] against the gutter.,
10,The grocer [weighed] the plums on a brass scale.,
11,She has a [sharp] mind for numbers.,
12,She needed a week to [digest] the verdict.,
13,The hammer [struck] the chisel squarely.,
14,She [wove] the reeds into a basket.,
15,The firm [harvested] data from its users.,
16,They fished in the [clear] water.,
17,Trust is the [foundation] of any alliance.,
18,The milk smelled [sour] by morning.,
19,The clown [juggled] five oranges.,
20,His humor was [dry] and unsparing.,
21,The verdict raised a [storm] of protest.,
22,The ruling was an [echo] of older prejudice.,
23,His faith served as his moral [compass].,
24,He wore a [thin] jacket in the snow.,
25,The medicine left a [bitter] taste.,
26,A [stream] of complaints reached the office.,
27,The lawyer built a [solid] argument.,
28,The candle [flame] guttered in the draft.,
29,The crew [harvested] wheat before the rain.,
30,He [chewed] on the offer overnight.,
31,He was caught in a [web] of lies.,
32,They ducked under the [low] beam.,
33,He sanded the [rough] plank.,
34,The apology was a [step] toward peace.,
35,Objections [rose] from every faction.,
36,The pond [froze] solid by December.,
37,She [cut] the melon into wedges.,
38,The insult was the [spark] for the riot.,
39,The divers explored the [deep] trench.,
40,The team sets [high] standards for itself.,
41,The election was a [mirror] of the nation's fears.,
42,The [key] stuck in the rusty lock.,
43,The witness gave [slippery] answers.,
44,Victory over their rivals was [sweet].,
45,The [court] dismissed the appeal.,
46,She gave him a [cold] reply.,
47,The party [pulled] its support from the bill.,
48,He [swallowed] his pride and apologized.,
49,Paint peeled from the kitchen [ceiling].,
50,Congress [froze] the agency's funding.,
51,The [current] dragged the canoe downstream.,
52,The committee faced a [hard] decision.,
53,The board [cut] the training budget.,
54,The lawyer [planted] doubt in the jury.,
55,The joke fell [flat] at the funeral.,
56,His question set the [frame] for the discussion.,
57,The hiker checked her [compass] at the fork.,
58,She felt the [weight] of the decision.,
59,Donations [flowed] after the appeal.,
60,A [current] of resentment ran through the debate.,
61,The terrier [dug] a hole under the fence.,
62,The government [fell] after the scandal.,
63,The eagle circled the [high] cliffs.,
64,The sun dipped below the [horizon].,
65,Prices [climbed] throughout the shortage.,
66,The editorial page [leaned] toward reform.,
67,She had a [bright] future in medicine.,
68,The novel deals with [heavy] themes.,
69,She pressed each [seed] into the soil.,
70,The insult [burned] in his memory.,
71,He waded into the [cold] river.,
72,They shared a [deep] commitment to justice.,
73,She wrapped the [fragile] vase in cloth.,
74,She pulled a loose [thread] from the hem.,
75,The senator took a [soft] stance on tariffs.,
76,She views the past through a [filter] of regret.,
77,The bench was carved from [solid] oak.,
78,She wiped steam from the bathroom [mirror].,
79,They squeezed through a [narrow] alley.,
80,She packed a [light] suitcase for the trip.,
81,The boys [climbed] the water tower at dusk.,
82,The cows [chewed] their cud in the shade.,
83,The mango was [sweet] and dripping.,
84,The raft [drifted] toward the reeds.,
85,Routine was the [anchor] of his recovery.,
86,The dean [bent] the rules for her.,
87,They sat by the [warm] stove.,
88,The coach [built] trust within the squad.,
89,Morale in the office was [low] all winter.,
90,A [spark] leapt from the campfire.,
91,The divorce turned [bitter] within weeks.,
92,The lecture [drifted] from its topic.,
93,She painted the front [door] red.,
94,The chair [steered] the meeting toward a vote.,
95,The article offered a [shallow] analysis.,
96,The investors were [cool] to the proposal.,
97,The scale showed the [weight] of the flour.,
98,The porters [carried] crates up the gangway.,
99,The inheritance raised a [sticky] question.,
100,Greed is the [root] of the scandal.,
101,The [flame] of rebellion spread through the province.,
102,He [held] the ladder while she climbed.,
103,The owl nested in a [hollow] trunk.,
104,Ripe apples [fell] into the wet grass.,
105,She [swallowed] the pill with water.,
106,Congress checks the executive [branch].,
107,The sponge [absorbed] the spilled wine.,
108,The tiles were [slippery] after the rain.,
109,The [road] to reform is long.,
110,She works in the [field] of epidemiology.,
111,The gymnast kept her [balance] on the beam.,
112,She climbed the corporate [ladder] quickly.,
113,He [shouldered] the duffel and boarded the bus.,
114,She [shouldered] the blame for the collapse.,
115,His claim [stretched] the truth.,
116,The lecture was [dull] beyond endurance.,
117,They mopped the warehouse [floor].,
118,She [broke] her promise within a week.,
119,Cracks spread through the concrete [foundation].,
120,Gravel crunched on the mountain [road].,
121,The film explored the [dark] side of fame.,
122,A [bright] lamp lit the workbench.,
123,The axe was too [blunt] to split kindling.,
124,The evidence against her was [thin].,
125,The butter [melted] in the skillet.,
126,Trucks rumbled across the steel [bridge].,
127,He lifted the [heavy] crate onto the truck.,
128,The eulogy [touched] everyone present.,
129,They [pushed] the stalled car off the road.,
130,Their partnership went [sour] over money.,
131,He [runs] along the canal every morning.,
132,Reporters [dug] into the senator's finances.,
133,Her testimony [carried] great weight.,
134,She [juggled] two jobs and a thesis.,
135,The idea [struck] her as absurd.,
136,Smoke [rose] from the chimney.,
137,A [wave] of nostalgia swept the crowd.,
138,Her resistance [melted] at his apology.,
139,She [grasped] the rope with both hands.,
140,The oxen [pulled] the plow through clay.,
141,His apology rang [hollow] to everyone.,
142,The pig dug up a gnarled [root].,
143,The skiff [sank] in the squall.,
144,The potter [spun] the wheel with one foot.,
145,She gave a [clear] explanation of the rules.,
