item,sentence,rating
1,She [navigated] the visa bureaucracy with ease.,
2,The idea [struck] her as absurd.,
3,Her theory rests on a bold [assumption].,
4,They shared a [deep] commitment to justice.,
5,He steadied the [ladder] against the gutter.,
6,The apology was a [step] toward peace.,
7,He [held] the ladder while she climbed.,
8,The medicine left a [bitter] taste.,
9,The axe was too [blunt] to split kindling.,
10,The witness gave [slippery] answers.,
11,They argued about the [legitimacy] of the ruling.,
12,The butter [melted] in the skillet.,
13,Their partnership went [sour] over money.,
14,Her testimony [carried] great weight.,
15,The [flame] of rebellion spread through the province.,
16,He wore a [thin] jacket in the snow.,
17,A [spark] leapt from the campfire.,
18,The joke fell [flat] at the funeral.,
19,He lifted the [heavy] crate onto the truck.,
20,The [key] stuck in the rusty lock.,
21,Use a [sharp] knife to slice the onions.,
22,Greed is the [root] of the scandal.,
23,He [shouldered] the duffel and boarded the bus.,
24,She [grasped] the argument at once.,
25,Congress [froze] the agency's funding.,
26,The [road] to reform is long.,
27,The boys [climbed] the water tower at dusk.,
28,The scale showed the [weight] of the flour.,
29,Petals [floated] on the pond.,
30,She [wove] the reeds into a basket.,
31,The kitten slept on a [soft] blanket.,
32,The firewood must stay [dry] all winter.,
33,He was caught in a [web] of lies.,
34,The essay examined the [futility] of the siege.,
35,They [planted] tomatoes along the fence.,
36,She gave a [clear] explanation of the rules.,
37,She wiped steam from the bathroom [mirror].,
38,Victory over their rivals was [sweet].,
39,The scholarship opened a [door] for her.,
40,The editorial page [leaned] toward reform.,
41,The lecture [drifted] from its topic.,
42,A [current] of resentment ran through the debate.,
43,The team sets [high] standards for itself.,
44,He waded into the [cold] river.,
45,He swept the [sawdust] off the bench.,
46,The insult [burned] in his memory.,
47,The board [cut] the training budget.,
48,Cracks spread through the concrete [foundation].,
49,A [tractor] idled outside the barn.,
50,The cellar stays [cool] in summer.,
51,The cows grazed in the [field].,
52,The committee debated the notion of [fairness].,
53,Smoke [rose] from the chimney.,
54,His faith served as his moral [compass].,
55,His apology rang [hollow] to everyone.,
56,The bench was carved from [solid] oak.,
57,The cows [chewed] their cud in the shade.,
58,The oxen [pulled] the plow through clay.,
59,A [bright] lamp lit the workbench.,
60,She [stretched] the canvas over the frame.,
61,The union [pushed] for shorter shifts.,
62,They ducked under the [low] beam.,
63,She pulled a loose [thread] from the hem.,
64,The article offered a [shallow] analysis.,
65,The government [fell] after the scandal.,
66,She views the past through a [filter] of regret.,
67,The workers drilled through [hard] rock.,
68,She [juggled] two jobs and a thesis.,
69,They sketched a [rough] plan for the merger.,
70,They kept the conversation [light] at dinner.,
71,The terrier [dug] a hole under the fence.,
72,The visitors received a [warm] welcome.,
73,The [ladle] hung beside the stove.,
74,The sun dipped below the [horizon].,
75,They mopped the warehouse [floor].,
76,She [steered] the truck around the crater.,
77,From the ridge you can [see] the harbor.,
78,Honey left the counter [sticky].,
79,He [broke] a window with the ball.,
80,Ivy covered the garden [wall].,
81,The law imposes a [ceiling] on donations.,
82,The aides [spun] the defeat as progress.,
83,His heart [sank] at the news.,
84,She [runs] a small accounting firm.,
85,The [storm] flattened the barley.,
86,The [path] wound through the birches.,
87,The lecture was [dull] beyond endurance.,
88,The firm [harvested] data from its users.,
89,The summit built a [bridge] between the parties.,
90,The river is [broad] near its mouth.,
91,The coach [built] trust within the squad.,
92,Meltwater [flowed] down the gully.,
93,An [echo] bounced off the canyon walls.,
94,The players swept rain from the [court].,
95,The dean [bent] the rules for her.,
96,The pebbles were [smooth] from the surf.,
97,The sponge [absorbed] the spilled wine.,
98,He [swallowed] his pride and apologized.,
99,A [wave] crashed over the seawall.,
100,The court took a [narrow] reading of the statute.,
101,Dust settled on the camera [lens].,
102,The ceasefire remained [fragile] all spring.,
103,The grocer [weighed] the plums on a brass scale.,
104,A [chain] of errors doomed the mission.,
105,A [stream] of complaints reached the office.,
106,She pressed each [seed] into the soil.,
107,She [touched] the marble with her fingertips.,
108,He lived in the [shadow] of his famous brother.,
109,The dredger deepened the shipping [channel].,
110,His question set the [frame] for the discussion.,
111,Congress checks the executive [branch].,
112,The film explored the [dark] side of fame.,
113,The treaty preserved the [balance] of power.,
114,She needed a week to [digest] the verdict.,
115,Routine was the [anchor] of his recovery.,
116,She dropped a [pebble] into the well.,
