item,sentence,rating
1,They argued about the [legitimacy] of the ruling.,
2,She [broke] her promise within a week.,
3,The judge [weighed] the competing claims.,
4,Morale in the office was [low] all winter.,
5,The pond [froze] solid by December.,
6,Trout hovered in the cold [stream].,
7,She had a [bright] future in medicine.,
8,She gave him a [cold] reply.,
9,A sparrow landed on the swaying [branch].,
10,The senator took a [soft] stance on tariffs.,
11,The lawyer built a [solid] argument.,
12,The skiff [sank] in the squall.,
13,Trucks rumbled across the steel [bridge].,
14,The essay examined the [futility] of the siege.,
15,The [ladle] hung beside the stove.,
16,She painted the front [door] red.,
17,A [wave] of nostalgia swept the crowd.,
18,The oak cast a long [shadow] on the lawn.,
19,The [dull] blade tore the bread.,
20,They [pushed] the stalled car off the road.,
21,The divorce turned [bitter] within weeks.,
22,The toast [burned] under the broiler.,
23,The rumor planted a [seed] of doubt.,
24,The [current] dragged the canoe downstream.,
25,His claim [stretched] the truth.,
26,The party [pulled] its support from the bill.,
27,Gravel crunched on the mountain [road].,
28,His humor was [dry] and unsparing.,
29,The lawyer [planted] doubt in the jury.,
30,The evidence against her was [thin].,
31,The candle [flame] guttered in the draft.,
32,The ruling was an [echo] of older prejudice.,
33,They stumbled down a [dark] hallway.,
34,Donations [flowed] after the appeal.,
35,The milk smelled [sour] by morning.,
36,He [chewed] on the offer overnight.,
37,The hammer [struck] the chisel squarely.,
38,The startup [absorbed] heavy losses.,
39,Her theory rests on a bold [assumption].,
40,Her assessment was [blunt] but fair.,
41,The photo sat in a walnut [frame].,
42,The historian reads the war through the [lens] of economics.,
43,The tiles were [slippery] after the rain.,
44,The election was a [mirror] of the nation's fears.,
45,The children splashed in the [shallow] end.,
46,New treatments appeared on the [horizon].,
47,Reporters [dug] into the senator's finances.,
48,The eagle circled the [high] cliffs.,
49,The porters [carried] crates up the gangway.,
50,She chose an unusual [path] to power.,
51,She felt the [weight] of the decision.,
52,He [bent] the wire into a hook.,
53,He swept the [sawdust] off the bench.,
54,The anchor hung from a rusted [chain].,
55,The chair [steered] the meeting toward a vote.,
56,The mango was [sweet] and dripping.,
57,A spider spun its [web] in the doorway.,
58,They sat by the [warm] stove.,
59,The law grants [broad] powers to inspectors.,
60,The crew [harvested] wheat before the rain.,
61,A [thread] of irony runs through the memoir.,
62,Objections [rose] from every faction.,
63,He sanded the [rough] plank.,
64,She [swallowed] the pill with water.,
65,The gymnast kept her [balance] on the beam.,
66,Prices [climbed] throughout the shortage.,
67,The pig dug up a gnarled [root].,
68,The insult was the [spark] for the riot.,
69,The board [floated] a merger proposal.,
70,He [runs] along the canal every morning.,
71,She climbed the corporate [ladder] quickly.,
72,Her resistance [melted] at his apology.,
73,Now I [see] why the plan failed.,
74,The clown [juggled] five oranges.,
75,The union negotiated a [floor] for wages.,
76,The investors were [cool] to the proposal.,
77,The hiker checked her [compass] at the fork.,
78,The potter [spun] the wheel with one foot.,
79,Patience is the [key] to teaching.,
80,She wrapped the [fragile] vase in cloth.,
81,The committee debated the notion of [fairness].,
82,She packed a [light] suitcase for the trip.,
83,She [grasped] the rope with both hands.,
84,Ripe apples [fell] into the wet grass.,
85,The novel deals with [heavy] themes.,
86,She [shouldered] the blame for the collapse.,
87,He hit a [wall] in the negotiations.,
88,They fished in the [clear] water.,
89,She [cut] the melon into wedges.,
90,They hiked across the [flat] plain.,
91,She works in the [field] of epidemiology.,
92,The pilot [navigated] the shoals at low tide.,
93,The raft [drifted] toward the reeds.,
94,The committee faced a [hard] decision.,
95,They [built] a cabin from salvaged timber.,
96,Paint peeled from the kitchen [ceiling].,
97,The crew winched the [anchor] aboard.,
98,The divers explored the [deep] trench.,
99,They opened a [channel] for negotiations.,
100,The handover was [smooth] despite the deadline.,
101,The inheritance raised a [sticky] question.,
102,The eulogy [touched] everyone present.,
103,Trust is the [foundation] of any alliance.,
104,The shovel [leaned] against the shed.,
105,The verdict raised a [storm] of protest.,
106,The bottom [step] creaked underfoot.,
107,A [tractor] idled outside the barn.,
108,He rinsed the coffee [filter].,
109,The owl nested in a [hollow] trunk.,
110,The [court] dismissed the appeal.,
111,She has a [sharp] mind for numbers.,
112,Snakes [digest] their prey slowly.,
113,The author [wove] grief into the comedy.,
114,She dropped a [pebble] into the well.,
115,She [held] a controversial opinion.,
116,They squeezed through a [narrow] alley.,
